Store Number,Name,Telephone,Address1,Address2,City,State,Zip,Latitude,Longitude
75807,Crowne Plaza Reagan National Airpor,703-416-1600,1480 Crystal Dr,,Arlington,VA,22202-3231,38.860595,-77.050332
72453,DCA - Wash Nat'l-Reagan-Level 1,703-417-1000,1 Aviation Cir,,Washington,DC,20001-6000,38.85731,-77.04426
7409,Crystal City,703-418-0226,"1649 Crystal Square Arcade Space, #44",#44,Arlington,VA,22202-3324,38.858457,-77.049916
13593,Courthouse Arlington,703-243-4721,2200 Clarendon Blvd,,Arlington,VA,22201-3379,38.890613,-77.085687
7596,Pentagon Row,703-415-0601,1101 South Joyce Street,,Arlington,VA,22202-2064,38.864283,-77.062872
729,Pentagon Centre,703-413-0566,1201 South Hayes St @ 15th,,Arlington,VA,22202-2700,38.861824,-77.059247
9317,The Fashion Centre at Pentagon City,703-418-0617,"1100 South Hayes Street, Space # K104",Space # K104,Arlington,VA,22202-4907,38.862323,-77.06068
7572,Foxhall Square,202-363-5100,3301 New Mexico Ave. NW,,Washington,DC,20016-3622,38.933575,-77.085644
7460,Crystal Park III,703-413-6226,"2231 Crystal Drive, Suite 160",Suite 160,Arlington,VA,22202-3711,38.853749,-77.049154
7706,The Market Common,703-243-0569,2690 Clarendon Blvd.,,Arlington,VA,22201-3840,38.888446,-77.090829
74153,Safeway-Wash DC #1276,202-723-5644,6500 Piney Branch Rd NW,,Washington,DC,20012-2900,38.969353,-77.026259
3716,Safeway - Washington #693,202-337-5649,4865 MacArthur Blvd NW,,Washington,DC,20007-1577,38.917236,-77.096057
74453,Safeway-Wash DC #1445,202-575-7525,2845 Alabama Ave SE,,Washington,DC,20020-3000,38.85906,-76.966837
720,Spout Run,703-527-6506,3125 Lee Hwy,,Arlington,VA,22201-4207,38.896554,-77.096579
7415,4513 Wisconsin Ave./Tenley,202-237-9480,4513 Wisconsin Avenue NW,,Washington,DC,20016-4619,38.948338,-77.079588
14173,The Concord,703-418-1015,2600 Crystal Drive,,Arlington,VA,22202-3566,38.849614,-77.05195
7350,5185 MacArthur Blvd.,202-244-6071,"5185 MacArthur Blvd, Ste 104",Ste 104,Washington,DC,20016-3341,38.926741,-77.102768
74538,Safeway-Arlington #4007,703-841-1155,3713 Lee Highway,,Arlington,VA,22207-3720,38.896591,-77.105652
70055,Bolling AFB - Commissary Mall,202-562-6270,185 Chappie James Blvd SW,,Bolling AFB,DC,20032-7717,38.836376,-77.019615
715,Chevy Chase Circle,202-244-9705,5500 Connecticut Avenue,,Washington,DC,20015-2602,38.963242,-77.074889
723,Spring Valley,202-686-3680,4820 Massachusetts Ave. NW,,Washington,DC,20016-2066,38.944666,-77.095654
76279,Target Hyattsville T-1890,301-955-0005,1500 E W Hwy,,Hyattsville,MD,20783-3028,38.974432,-76.983971
7820,Virginia Square Metro,703-527-6206,"901 North Nelson Street, 120",120,Arlington,VA,22203,38.883029,-77.103657
7412,Potomac Yards,703-535-8740,3825 C Jefferson Davis Highway,,Alexandria,VA,22305-3138,38.8388,-77.051741
7299,Chevy Chase Pavillion,202-244-6224,"5335 Wisconsin Ave NW, #37",#37,Washington,DC,20015-2030,38.960381,-77.084811
7527,Shoppes at Metro,301-985-5244,3601 East-West Highway,,Hyattsville,MD,20782-2060,38.966161,-76.953687
7764,Friendship Heights,301-652-6317,5454 Wisconsin Avenue,,Chevy Chase,MD,20815-6901,38.962553,-77.086862
7389,Ballston Metro Center,703-294-6211,901 North Stuart Street,,Arlington,VA,22203-1821,38.88105,-77.111625
7554,Ballston Commons,703-741-0840,"4238 Wilson Blvd, Suite 1264",Suite 1264,Arlington,VA,22203-1833,38.879973,-77.111388
14374,Lee Heights Shops,703-243-1282,4526 Lee Highway,,Arlington,VA,22207-3304,38.898368,-77.119007
75782,Westin Arlington Lobby,800-856-2864,801 N. Glebe Rd.,,Arlington,VA,22203-1825,38.880765,-77.114484
73801,Giant-Silver Spring #354,301-585-1670,1280 E West Hwy,,Silver Spring,MD,20910-3242,38.990935,-77.029851
2986,Hampshire-Langley,301-439-5548,"7690 New Hampshire Avenue, Space #4",Space #4,Langley Park,MD,20912-7500,38.988532,-76.988396
7319,Silver Spring,301-563-6850,8399 Colesville Road,,Silver Spring,MD,20910-3229,38.994148,-77.032135
7914,Downtown Silver Spring,301-587-3792,"915 Ellsworth Drive, C-19",C-19,Silver Spring,MD,20910-4402,38.996305,-77.026232
7615,Sumner Place,301-320-9845,4611-E Sangamore Road,,Bethesda,MD,20816,38.9494219,-77.11851225
703,Bethesda,301-718-6339,5438 Westbard Avenue,,Bethesda,MD,20816-1409,38.964546,-77.107615
75942,UMUC Conference Center - Lobby,301-985-7841,3501 University Blvd East,,Adelphi,MD,20783-7999,38.985816,-76.954684
743,7140 Wisconsin,301-652-5941,7140 Wisconsin Avenue,,Bethesda,MD,20814-4806,38.980905,-77.092894
7579,Lee Harrison S/C,703-237-7252,2441 N. Harrison St.,,Arlington,VA,22207-1611,38.897377,-77.138105
9524,University of Maryland,301-277-0106,7338 Baltimore Avenue,,College Park,MD,20740-3206,38.980487,-76.938904
4175,Safeway - Bethesda #2848,,5000 Bradley Blvd,,Bethesda,MD,20815-6559,38.977665,-77.099976
74442,Safeway-Arlington #764,703-538-6700,2500 N Harrison St,,Arlington,VA,22207-1600,38.896917,-77.139405
7817,East-West Hwy.,301-654-1566,4520 East West Highway,,Bethesda,MD,20814-3319,38.984788,-77.091681
7305,Bradlee Center,703-845-9563,3690 Q King Street,,Alexandria,VA,22302-1921,38.829859,-77.09192
7568,North Washington Center,703-739-3706,683 N Washington St,,Alexandria,VA,22314-1913,38.811476,-77.04527
7231,North Chevy Chase,301-986-5187,8542 Connecticut Avenue,,Chevy Chase,MD,20815-6825,38.995522,-77.077436
749,Skyline (Baileys Crossroads),703-845-0029,"3544 South Jefferson Street, #7",#7,Falls Church,VA,22041-3143,38.847819,-77.12043
14482,The Monarch,703-535-3208,540 N Henry Street,,Alexandria,VA,22314-2233,38.810643,-77.0503
76295,Target Skyline T-1893,703-253-0021,5115 Leesburg Pike,,Falls Church,VA,22041-3207,38.844797,-77.118639
7516,7700 Norfolk Ave,301-951-4988,7700 Norfolk Ave,,Bethesda,MD,20814-6006,38.988044,-77.096291
74150,Safeway-Falls Church #1462,703-533-3800,5821 Crossroads Center Way,,Falls Church,VA,22041-2307,38.853616,-77.128978
7452,Chesterbrook,703-241-9480,6214 Old Dominion Center,,McLean,VA,22101-4217,38.919787,-77.150373
7904,King & Union,703-549-1752,100 S. Union Street,,Alexandria,VA,22314-3324,38.804092,-77.04012
701,Alexandria,703-836-2236,532 King Street,,Alexandria,VA,22314-3104,38.804748,-77.045569
13182,Target Falls Church T-1431,703-237-8118,6100 Arlington Blvd,,Falls Church,VA,22044-2901,38.867963,-77.143005
75855,Hilton Alexandria Old Town Lobby,703-837-0440,1767 King St,,Alexandria,VA,22314-2720,38.807017,-77.059617
74909,Safeway - Falls Church #2883,703-531-0030,6118 Arlington Blvd,,Falls Church,VA,22044-2901,38.86779,-77.143715
11824,Carlyle Center,703-299-3460,1901 Ballenger Avenue,,Alexandria,VA,22314-6819,38.802619,-77.061939
70379,Westin Alexandria - Lobby,703-253-8691,Jamieson Avenue & Courthouse Square,,Alexandria,VA,22314,38.803371,-77.0649
741,Seven Corners,703-536-4145,6270 Seven Corners Circle,,Falls Church,VA,22044-2407,38.869098,-77.151084
10090,Alexandria Commons,703-212-4890,3113 Duke Street,,Alexandria,VA,22314-4518,38.808561,-77.083505
8136,Hoffman,703-960-4279,2459 Eisenhower Avenue,,Alexandria,VA,22314-4684,38.801602,-77.072033
76280,Target District Heigts T-1897,301-778-1651,3101 Donnell Dr,,Forestville,MD,20747-3204,38.849029,-76.886583
7368,Mark Shops,703-820-4066,"1462 N. Beauregard St., B",B,Alexandria,VA,22311-5800,38.827413,-77.127806
7372,PennMar,301-516-7100,"3450 Donnell Drive, Space #49",Space #49,Forestville,MD,20747-3209,38.844061,-76.884326
14526,New Carrollton,301-577-6232,8498 Annapolis Road,,New Carrollton,MD,20784-3013,38.95595,-76.87265
7585,Broaddale,703-536-6971,344 W Broad St,,Falls Church,VA,22046-3319,38.884731,-77.174131
74272,Safeway - McLean #1300,703-356-6118,1330 Chain Bridge Rd.,,McLean,VA,22101-3901,38.939289,-77.175591
714,McLean,703-821-1033,1438 Chain Bridge Road,,McLean,VA,22101-3701,38.9333,-77.178425
7529,Barcroft Plaza,703-354-8969,6365 Columbia Pike,,Falls Church,VA,22041-1224,38.836869,-77.156028
79478,Giant-McLean #758,703-356-6859,1454 Chain Bridge Road,,McLean,VA,22101-3706,38.932572,-77.180402
721,Falls Plaza,703-534-3111,1218 West Broad Street,,Falls Church,VA,22046-2116,38.894498,-77.188339
75346,Andrews Air Force Base,240-392-2147,1684 Starkey Ave,,Andrews AFB,MD,20762-6302,38.815569,-76.883863
730,Pinecrest,703-256-5503,6552-B Little River Turnpike,,Alexandria,VA,22312-1443,38.82234,-77.161497
74440,Safeway-McLean #1920,703-343-1000,7401 Colshire Dr,,McLean,VA,22102-7401,38.923996,-77.20109
7334,Beacon Mall,703-721-1642,"6754 Richmond Hwy, Unit 4",Unit 4,Alexandria,VA,22306-6701,38.77122,-77.08173
73933,Giant-Falls Church #233,703-280-3341,7235 ARLINGTON BLVD,,Falls Church,VA,22042-3219,38.86595,-77.195826
7578,Idylwood Plaza,703-288-9085,7501 H Leesburg Pike,,Falls Church,VA,22043-2103,38.902562,-77.203898
76427,Target Largo T-1006,301-324-7080,10500 Campus Way S,,Largo,MD,20774-1309,38.896508,-76.826822
7816,Largo Plaza,301-350-7565,10586 Campus Way South,,Largo,MD,20774-1309,38.897314,-76.822828
76591,Target Lanham T-2007,301-955-0107,10401 Martin Luther King Hwy,,Bowie,MD,20720-4201,38.953813,-76.824808
11208,Tysons Corner Center - East Wing,703-893-4209,7901 L Tysons Corner Mall,,McLean,VA,22102-4503,38.917345,-77.21912
11688,Vista Gardens,301-352-7746,10621 Martin Luther King Jr. Highway,,Lanham,MD,20720-4217,38.955157,-76.824279
9280,Bradlick Shopping Center,703-914-0358,6910-G Bradlick Shopping Center,,Annandale,VA,22003-7201,38.812279,-77.184005
74370,Safeway-Alexandria #1950,703-823-2641,Richmond Hwy & Arlington Dr,,Alexandria,VA,22306,38.75455,-77.08355
74215,Safeway - Annandale #1588,703-941-3874,7414 Little River Turnpike,,Annandale,VA,22003-3013,38.832243,-77.201037
7322,Tysons Galleria,703-749-1176,"2001 International Drive, 109",109,McLean,VA,22102-4605,38.92317,-77.225544
7729,Tysons Corner Center,703-760-4840,1961 Chain Bridge Rd,,McLean,VA,22102-4501,38.919739,-77.226045
79357,Giant Landover-Alexandria #232,703-313-0855,5870 Kingstown Blvd,,Alexandria,VA,22315-5704,38.772631,-77.135164
7322,Tysons Galleria Relo,703-749-1176,"2001 International Drive, K-102",K-102,McLean,VA,22102-4605,38.922863,-77.22607
7242,Kingstowne,703-971-7016,"5860 Kingstowne Center, Suite 100",Suite 100,Kingstowne,VA,22315-5705,38.773425,-77.137267
10091,Mt. Vernon Plaza,703-717-0910,7696 J Richmond Highway,,Alexandria,VA,22306-2843,38.749332,-77.083458
7321,Merrifield,703-645-9182,8104A Arlington Blvd,,Falls Church,VA,22042-1002,38.866585,-77.225747
7479,Pike 7,703-893-5125,8381 Leesburg Pike,,Vienna,VA,22182-2402,38.921648,-77.236271
10601,"Clinton, MD",301-856-3190,"8919 A Woodyard Road, Bld 4, Bld 4",Bld 4,Clinton,MD,20735-4219,38.767115,-76.890011
7537,Tysons 3 Center,703-760-7037,8520 D Leesburg Pike,,Vienna,VA,22182-2414,38.928325,-77.239272
70321,Harris Teeter-McLean # 302,703-448-0132,8200 Crestwood Heights Drive,,McLean,VA,22102-3118,38.92833189,-77.221504
737,Springfield,703-924-0215,6525-B Frontier Drive,,Springfield,VA,22150-1410,38.775268,-77.171054
74358,Safeway-Fort Washington #1882,301-965-6000,952 E Swan Creek Rd,,Fort Washington,MD,20744-5266,38.72678925,-76.99184769
74246,Safeway-Alexandria #1847,703-921-3125,5980 Kingstowne Village Center,,Alexandria,VA,22315-5876,38.753932,-77.148234
705,Potomac,301-299-9226,"10116 River Road, Unit A",Unit A,Potomac,MD,20854-4949,39.016793,-77.20837
11153,Springfield Plaza,703-913-5901,7110 Old Keene Mill Road,,Springfield,VA,22150-3437,38.779097,-77.189985
79696,Safeway-Bowie #2713,301-867-0340,12410 Fairwood Prky,,Bowie,MD,20720-6312,38.965239,-76.789686
2804,Vienna Marketplace,703-938-1003,207 Maple Avenue East,,Vienna,VA,22180-4600,38.903488,-77.262081
74726,Safeway-Fairfax #2616,703-269-2241,3043 Nutley St,,Fairfax,VA,22031-1931,38.871316,-77.261052
7803,Pan Am Shopping Center,703-645-8788,"3011 Nutley Street, 5A",5A,Fairfax,VA,22031-1931,38.871898,-77.26132
706,Vienna,703-242-0890,107 Maple Avenue West,,Vienna,VA,22180-5728,38.901464,-77.265619
74332,Safeway-Alexandria #1283,703-780-9581,8646 Richmond Hwy,,Alexandria,VA,22309-4205,38.724424,-77.121087
718,Old Keene Mill,703-866-9273,8408-A Old Keene Mill,,Springfield,VA,22152-2302,38.779425,-77.234733
74904,Safeway - Fairfax #1365,703-970-4604,9525 Braddock Rd,,Fairfax,VA,22032-2539,38.816664,-77.275062
74274,Safeway-Bowie #1804,301-262-7992,4100 Northview Dr,,Bowie,MD,20716-2624,38.945779,-76.737265
713,Oakton,703-242-8244,2930 Chain Bridge Road,,Oakton,VA,22124-3041,38.882753,-77.299892
7666,Bowie Town Center,301-805-2574,3924 Town Center Boulevard,,Bowie,MD,20716-2211,38.944708,-76.733909
16038,Fort Belvoir Community Hospital,703-781-9280,9300 DeWitt Loop,,Fort Belvoir,VA,22060,38.701163,-77.138084
7671,Fairfax City,703-383-5870,10344 Main Street,,Fairfax City,VA,22030-2410,38.845946,-77.303478
75320,AAFES Ft. Belvoir,703-781-9280,5986 12th St,,Fort Belvoir,VA,22060-8021,38.697447,-77.14316
76379,Target Bowie T-1004,301-352-3830,4600 Mitchellville Rd,,Bowie,MD,20716-3110,38.952348,-76.722504
74175,Safeway - Burke #1606,703-440-1341,9596 Old Keene Mill Rd.,,Burke,VA,22015-4208,38.778361,-77.275184
70035,George Mason University,703-993-5065,4401 University Drive,,Fairfax,VA,22030-4481,38.834866,-77.31097
13673,Kamp Washington,703-218-5403,10930 Fairfax Blvd.,,Fairfax,VA,22030-4329,38.853621,-77.321565
2829,Manokeek,301-283-3724,"7045 Berry Road, A1",A1,Accokeek,MD,20607-3439,38.65979921,-77.01603402
7814,Huntsman Square,703-440-8447,7475 Huntsman Blvd.,,Springfield,VA,22153-1648,38.752823,-77.265029
727,Burke Commons,703-250-2292,6003-A Burke Centre Pkwy,,Burke,VA,22015-3755,38.787356,-77.297273
7662,Burke Centre,703-250-8435,5749 Burke Center Pkwy,,Burke,VA,22015-2266,38.798614,-77.319885
74223,Safeway-Burke #4002,703-323-8784,5727 Burke Center Parkway,,Burke,VA,22015-2204,38.799607,-77.321229
3511,Safeway-Brandywine #2853,301-242-9260,15916 S Crain Hwy,,Brandywine,MD,20613-8000,38.669955,-76.876016
76956,Target Brandywine T-2394,301-720-9000,15922 S Crain Hwy,,Brandywine,MD,20613-8047,38.668005,-76.875846
2805,Lee Plaza,703-385-5732,11725 Lee Highway,,Fairfax,VA,22030-8800,38.848735,-77.352117
7524,Fair Oaks Mall,703-934-8960,"11750 Fair Oaks, Suite H131",Suite H131,Fairfax,VA,22033-3365,38.86086874,-77.3581
7866,Lorton Valley,703-690-5743,8971-G Ox Road,,Lorton,VA,22079-3216,38.714946,-77.264037
74142,Safeway-Fairfax #1431,703-359-0523,12200 W Ox Road,,Fairfax,VA,22033-2405,38.866163,-77.368362
11825,East Market at Fairlakes,703-865-7071,12599 Fairlakes Circle,,Fairfax,VA,22033-3822,38.858184,-77.381393
2770,Waldorf,301-645-2503,3053 Waldorf Market Place,,Waldorf,MD,20603-4871,38.627447,-76.916754
74719,Safeway-Waldorf #2661,301-632-5680,11380 Plaza Drive,,Waldorf,MD,20603,38.62703212,-76.91716668
76378,Target Waldorf T-1008,301-645-7114,3300 Western Pkwy,,Waldorf,MD,20603-4582,38.62493488,-76.91935942
7731,Fairlakes,703-502-7800,12957 Fairlakes Shopping Center,,Fairfax,VA,22033-5177,38.85921834,-77.39407
739,Greenbriar,703-968-0026,"13037-A Lee Jackson Memorial Hwy, Space #A",Space #A,Fairfax,VA,22033-2004,38.880469,-77.396309
7606,Franklin Farms,571-203-0355,13340B Franklin Farms Rd,,Herndon,VA,20171-4094,38.90881,-77.407622
707,Clifton,703-802-0494,5748 Union Mill Road,,Clifton,VA,20124-1088,38.833127,-77.411789
74222,Safeway-Waldorf #105,301-843-2825,10 King Street,,Waldorf,MD,20602-1839,38.60231,-76.902994
7286,Lake Ridge,703-491-9055,"12447 Hedges Run Drive, #B-1",#B-1,Lake Ridge,VA,22192-1715,38.685517,-77.312801
8773,Parkway Crossings East,703-490-8747,2447 Prince William Pkwy,,Woodbridge,VA,22192-4147,38.655911,-77.285394
76387,Target Woodbridge T-759,703-490-3242,2460 Price William Pkwy,,Woodbridge,VA,22192-4148,38.654618,-77.288778
8721,Chantilly Crossing,703-815-7091,14423 Chantilly Crossing Lane,,Chantilly,VA,20151-2116,38.897705,-77.445179
8764,Dunkirk,410-286-5483,2981 Plaza Drive,,Dunkirk,MD,20754-2735,38.723946,-76.658842
74104,Safeway-Dunkirk #1129,301-855-3765,10276 Southern Maryland Blvd,,Dunkirk,MD,20754-3028,38.718669,-76.662417
10706,Potomac Mills Mall,703-490-6407,"2700 Potomac Mills Circle, 337",337,Woodbridge,VA,22192-4625,38.643086,-77.294745
74235,Safeway-Woodbridge #1298,703-590-1057,4240 Merchant Plaza,,Woodbridge,VA,22192-5086,38.67454,-77.334586
76785,Target La Plata T-2133,301-934-5900,60 Shining Willow Way,,La Plata,MD,20646-4224,38.543023,-76.979239
74470,Safeway-La Plata #1938,301-392-1875,6615 Crain Hwy,,La Plata,MD,20646-4287,38.542242,-76.982118
7734,Centrewood,703-266-6593,14155 Saint Germain Dr.,,Centreville,VA,20121-2310,38.836389,-77.437311
7476,Sully Station,703-502-4845,5623 Stone Road,,Centreville,VA,20120-1618,38.853857,-77.45083
5193,Harris Teeter-Chantilly #309,703-542-8300,"25401 Eastern Marketplace Plaza, 150",150,Chantilly,VA,20152-5782,38.9027,-77.48209
13622,La Plata Shopping Center,301-392-5212,6675 Crain Hwy.,,La Plata,MD,20646-4287,38.529769,-76.98444
11574,Hoadly Village,703-583-1359,12853 Galveston Court,,Manassas,VA,20112-8676,38.679285,-77.365674
7677,Cheshire Station S/C,703-730-0222,"4471 Cheshire Station Plaza, Space 15",Space 15,Dale City,VA,22193-2226,38.646619,-77.334604
76485,Target Dumfries T-2017,703-586-6132,4310 Fortuna Ctr Plaza,,Dumfries,VA,22025-1538,38.597594,-77.332944
7965,Dumfries,703-590-2201,4380 Fortuna Center Plaza,,Dumfries,VA,22025-1538,38.597445,-77.334835
13334,Liberia Ave.,703-365-2154,9642 Liberia Avenue,,Manassas,VA,20110-1700,38.746882,-77.451188
7693,South Riding,703-327-6763,43114 Peacock Market #140,,South Riding,VA,20152-4464,38.916687,-77.510185
79247,Harris Teeter-Chantilly/Dulles S #2,703-542-8340,42015 Village Center Plaza,,Aldie,VA,20105-3033,38.939163,-77.54818
79409,Giant-Haymarket #790,571-248-4550,5581 Merchants View Square,,Haymarket,VA,20169-5439,38.842692,-77.643688
7410,Manassas,703-331-0066,8329 Sudley Road,,Manassas,VA,20109-3508,38.775291,-77.502081
7809,Manassas Junction,703-365-8525,8809 Centerville Road,,Manassas,VA,20110-5203,38.76324,-77.458592
76205,Super Target-Gainesville ST-1873,571-261-5052,13301 Whitney Dr,,Gainesville,VA,20155,38.794853,-77.607144
2980,Gainesville,571-248-8830,"7375 Atlas Walk Way, Bldg. G",Bldg. G,Gainesville,VA,20155-2992,38.796114,-77.610758
76871,Super Target Manassas West ST-2323,703-257-6969,9900 Sowder Village Sq,,Manassas,VA,20109-5464,38.739724,-77.53108
74438,Safeway-Bristow #2635,703-948-1080,12821 Braemar Village Plaza,,Bristow,VA,20136-5502,38.749978,-77.570984
73813,Harris Teeter-Gainesville #251,,7910 Crescent Park Dr,,Gainesville,VA,20155-1562,38.783628,-77.664379
73772,Harris Teeter-Bristow # 313,703-257-1367,10438 Bristow Center Dr,,Bristow,VA,20136-2202,38.73266,-77.550198
8635,Warrenton,540-347-6475,6435 Lee Highway,,Warrenton,VA,20187-7903,38.73330034,-77.774994
3764,Harris Teeter - Warrenton #329,540-349-9500,530 Fletcher Ave,,Warrenton,VA,20186-2183,38.730126,-77.792362
74319,Safeway-Warrenton #1801,540-347-7909,189 W Lee Hwy,,Warrenton,VA,20186-2107,38.73039,-77.797138
10622,Warrenton Village,540-341-7261,"127 West Lee Highway, Suite 200",,Warrenton,VA,20186-2107,38.728773,-77.796113
76803,Target Front Royal T-2297,540-631-3290,10 Crooked Run Plaza,,Front Royal,VA,22630-7004,38.963557,-78.192027
11151,Front Royal,540-635-4679,125 Riverton Commons Plaza,,Front Royal,VA,22630-6769,38.941733,-78.201609
7918,Stafford Marketplace,540-720-9145,"1495 Stafford Market Place, Suite 117",Suite 117,Stafford,VA,22556-4530,38.48592133,-77.411006
10882,Culpeper,540-829-5830,15185 Montanus Drive,,Culpeper,VA,22701-1679,38.48413,-77.969569
76741,Target Culpeper T-2250,540-829-6613,15341 Montanus Dr,,Culpeper,VA,22701-2523,38.483208,-77.967383
76850,Target Stafford South T-2175,540-374-4820,53 Standstead Rd,,Stafford,VA,22554,38.469045,-77.408115
76136,Target Stafford,540-658-9901,1090 Stafford Marketplace,,Stafford,VA,22556-4523,38.46905,-77.408027
10621,Harrison Crossing,540-785-0073,5811 Plank Road,,Fredericksburg,VA,22407-6229,38.291648,-77.568812
73724,Giant-Stafford # 234,540-286-1721,Route 17 & Greenbank Road,,Stafford,VA,22554,38.4501,-77.4008
2803,Central Park,540-785-2288,1670 Carl D. Silver Parkway,,Fredericksburg,VA,22401-4924,38.304051,-77.509356
76384,Target Fredericksburg T-772,540-786-6800,1180 Carl D Silver Pkwy,,Fredericksburg,VA,22401-4913,38.299744,-77.512866
7265,Fredericksburg,540-786-2446,"3500 Plank Road, Suite A",Suite A,Fredericksburg,VA,22407-6887,38.293598,-77.518965
11772,Spotsylvania Towne Center,540-548-0609,"137 Spotsylvania Towne Centre, 450",450,Fredericksburg,VA,22407-1126,38.293961,-77.514178
9677,Westwood S.C.,540-361-1348,2001 Plank Road,,Fredericksburg,VA,22401-5103,38.295575,-77.493235
75500,Quantico Marine Corps Base,703-432-8397,3500 Russell Road,,Quantico,VA,22134-2200,38.51395,-77.30694
2982,"Route 1, Fredericksburg",540-898-9243,9907 Southpoint Parkway,,Fredericksburg,VA,22407-2703,38.231883,-77.504589
76602,Target Fredericksburg ST-2138,540-834-1440,9785 Jefferson Davis Hwy,,Fredericksburg,VA,22407-9406,38.169136,-77.51889
76423,Target Charlottesville T-1858,434-964-0231,312 Connor Dr,,Charlottesville,VA,22911-5605,38.128888,-78.440984
9732,Hollymead Town Center,434-975-6005,163 Community Street,,Charlottesville,VA,22911-5602,38.126682,-78.443996
79208,Kroger - Charlottesville #334,434-978-1311,1980 Rio Hill Center,,Charlottesville,VA,22901-1144,38.088664,-78.474173
2990,Charlottesville Fashion Square,434-974-7362,1600 East Rio Road,,Charlottesville,VA,22901-1405,38.079833,-78.47278
7794,Route 29,434-973-5298,1520 Siminole Trail,,Charlottesville,VA,22901-1419,38.078819,-78.476419
76496,Target Harrisonburg T-2071,540-432-1708,1995 E Market St,,Harrisonburg,VA,22801-3433,38.433113,-78.844908
4139,James Madison University-Carrier Li,540-568-4268,880 Madison Dr,,Harrisonburg,VA,22807-1038,38.438651,-78.871938
75301,James Madison U - Phillips Center,540-568-6224,800 S Main St,,Harrisonburg,VA,22807-0001,38.440966,-78.873965
11575,James Madison Square,540-432-6186,1306 Hillside Avenue,,Harrisonburg,VA,22801-2994,38.43038,-78.876334
7828,Rivanna Ridge,434-295-4996,1986 Abbey Road,,Charlottesville,VA,22911-3543,38.028996,-78.445139
72863,Harris Teeter-Charlottesville #177,434-984-2900,975 Emmet St,,Charlottesville,VA,22903-4891,38.051391,-78.503083
7422,Charlottesville,434-970-1058,1601 University Avenue,,Charlottesville,VA,22903-2610,38.035464,-78.500885
70082,University of Virginia - South Lawn,434-243-9854,1540 Jefferson Park Ave,,Charlottesville,VA,22903-3246,38.0312,-78.5006
7869,Prince Frederick,410-414-3349,721 N. Prince Frederick Blvd.,,Prince Frederick,MD,20678-3191,38.553435,-76.595512
74419,Safeway-Prince Frederick #1731,410-414-7404,400 W Dares Beach Rd,,Prince Frederick,MD,20678-3126,38.544809,-76.594655
7778,Lexington Park,240-895-0361,23105 Three Notch Rd,,California,MD,20619-2407,38.30204947,-76.51736227
75785,Cedar Fair Kings Dominion Theme Par,804-876-5285,16000 Theme Park Way,,Doswell,VA,23047-1918,37.84145936,-77.450035
10847,Ashland Hanover,804-752-7834,704 England Street,,Ashland,VA,23005-2217,37.758632,-77.469724
76526,Target Glen Allen T-1019,804-262-2390,10100 Brook Rd,,Glen Allen,VA,23059-6514,37.673056,-77.463289
7919,Virginia Center,804-261-5976,9853 Brook Road,,Glen Allen,VA,23059-6535,37.668349,-77.460064
13663,"Gloucester, VA",804-694-3146,6705 Fox Mill Center Parkway,,Gloucester,VA,23061-6130,37.397574,-76.527071
79477,Farm Fresh-Gloucester #814,,7242 George Washington Memorial Highway,,Gloucester,VA,23072,37.39658,-76.526373
72971,Farm Fresh-Williamsburg #335,757-564-8619,115 Norge Lane,,Williamsburg,VA,23188-7230,37.37286,-76.773412
9936,Cedar Valley,757-258-4931,800-L East Rochambeau Drive,,Williamsburg,VA,23188-2109,37.343162,-76.740727
9806,Waynesboro,540-949-0880,2007 Rosser Ave.,,Waynesboro,VA,22980-7403,38.064063,-78.936326
76852,Target Waynesboro T-2294,540-941-2280,811 Town Center Dr,,Waynesboro,VA,22980-9262,38.058063,-78.94642
11576,Staunton,540-885-7163,"1209 Richmond Rd, Suite 101",Suite 101,Staunton,VA,24401-5069,38.134509,-79.042869
7893,Boonsboro,434-384-6724,4925 Boonsboro Road,,Lynchburg,VA,24503-2207,37.446615,-79.219105
8775,Wards Road,434-832-0185,"3911 Wards Road, Suite A",Suite A,Lynchburg,VA,24502-3245,37.351415,-79.183848
9377,Twin Hickory,804-290-0518,"11321 Nuckols Rd, Suite A",Suite A,Glen Allen,VA,23059-5683,37.683599,-77.589731
13774,Short Pump Pad,804-360-0844,11716 West Broad Street,,Short Pump,VA,23233-1005,37.655489,-77.619459
76861,Target - Richmond NW T-1049,804-360-8900,11290 W Broad St,,Glen Allen,VA,23060-5815,37.652034,-77.605957
9315,Shoppes at Westgate,804-360-2696,11735 West Broad Street,,Richmond,VA,23233-1006,37.653606,-77.621443
7847,Short Pump Town Center,804-364-9074,"11800 West Broad Street, 1120",1120,Richmond,VA,23233-1064,37.65290881,-77.61411
738,Parkside,804-273-6632,10865 West Broad Street,,Glen Allen,VA,23060-3312,37.646344,-77.582752
76866,Target Richmond T-2337,804-672-5347,9001 STAPLES MILL RD,,RICHMOND,VA,23228-2022,37.639136,-77.511904
14272,Gaskins & Mayland,804-217-8602,3820A Gaskins RD,,Richmond,VA,23233-1435,37.641347,-77.571
13912,North Park Shopping Center,804-261-3633,8137 Brook Road,,Richmond,VA,23227-1307,37.633707,-77.458854
13550,Parham & Staples,804-266-6778,8800 Staples Mille Road,,Richmond,VA,23228-2057,37.632385,-77.50933
